All,Todos
"Enable Search Recommendations","Ativar Recomendações de Pesquisa"
"When you enable this option your site may slow down.","Quando esta opção está ativa o seu site poderá ficar mais lento."
"Search Recommendations Count","Contagem de Recomendações de Pesquisa"
"Show Results Count for Each Recommendation","Mostrar Contagem de Resultados para Cada Recomendação"
"Enable Search Suggestions","Ativar Sugestões de Pesquisa"
"Search Suggestions Count","Contagem de Sugestões de Pesquisa"
"Show Results Count for Each Suggestion","Mostrar Contagem de Resultados para Cada Sugestão"
"Related search terms","Termos de Pesquisa Relacionados"
"Did you mean","Você quis dizer"
"Search Query",Pesquisa
Store,Loja
Results,Resultados
Uses,Utiliza
"Redirect URL","URL de Redirecionamento"
"Suggested Term","Termo Sugerido"
Yes,Sim
Synonym,Sinónimo
"RPC call failed, connection timed out after %time_out.","A chamada RPC falhou, o tempo de ligação excedeu o tempo limite após %time_out."
"Message has been rejected: %1","A mensagem foi rejeitada: %1"
"Error while checking if topic is synchronous","Ocorreu um erro ao verificar se o tópico é síncrono"
"Subscription status","Estado da subscrição"
"Sorry, there has been an error processing your request. Please try again later.","Desculpe, ocorreu um erro ao processar o seu pedido. Por favor, tente novamente mais tarde."
"Time value has an unsupported format","Valor do tempo tem um formato não suportado"
"Cron settings can't be saved","Configurações do cron não podem ser gravadas"
"There was an error save new configuration value.","Houve um erro a gravar a nova configuração do valor."
"Please select a vertical.","Por favor selecione um vertical."
"--Please Select--","-- Por favor escolha uma opção --"
"Command was not found.","Comando não foi encontrado."
"Input data must be string or convertible into string.","Os dados inseridos devem ser texto ou convertíveis para texto."
"Input data must be non-empty string.","Dados inseridos devem ser do tipo texto e não pode ser vazio."
"Not valid cipher method.","Método de codificação não é válido."
"Encryption key can't be empty.","Chave de criptografia não pode ser vazio."
"Source ""%1"" is not exist","Não existe fonte ""%1"""
"Cannot find predefined integration user!","Não é possível encontrar o utilizador de integração predefinido!"
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Tentar Novamente Sincronização</a>"
TestMessage,"Messagem de Teste"
"Apps and Games","Applicações e Jogos"
"Athletic/Sporting Goods","Artigos Desportivos"
"Art and Design","Arte e Design"
"Advanced Reporting","Relatórios Avançados"
"Go to Advanced Reporting","Ir para avançado relatórios"
Analytics,Analítica
Configuration,Configuração
"Business Intelligence","Inteligência de negócios"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Este serviço fornece um conjunto dinâmico de relatórios sobre seu negócio.
Os seus relatórios podem ser acessados com segurança em um painel personalizado fora do painel de administração clicando no link ""Relatórios Avançados"". </br> Para obter mais informações, consulte nossos <a href=""https://magento.com/legal/terms/cloud-terms""> termos e condições</a>."
"Advanced Reporting Service","Serviço de informação avançado"
"Time of day to send data","Hora do dia para enviar dados"
Industry,Indústria
"In order to personalize your Advanced Reporting experience, please select your industry.","A fim de personalizar a sua experiência de Advanced Reporting, selecione por favor sua indústria."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Sabe mais sobre Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence oferece-lhe um caminho simples e claro para se tornar mais dados impulsionados.</br> Saiba mais sobre <a target=""_blank"" href=""https://dashboard.rjmetrics.com/v2/magento/signup/""> Magento BI Essentials e BI Pro</a> tiers."
"Auto Parts","Peças auto"
"Baby/Children’s Apparel, Gear and Toys","Vestuário bebê/infantil, artes e brinquedos"
"Beauty and Cosmetics","Beleza e cosméticos"
"Books, Music and Magazines","Livros, música e revistas"
"Crafts and Stationery","Artesanato e artigos de papelaria"
"Consumer Electronics","Electrónica de consumo"
"Deal Site","Site de negócio"
"Fashion Apparel and Accessories","Acessórios e vestuário de moda"
"Food, Beverage and Grocery","Alimentos, bebidas e mercearia"
"Home Goods and Furniture","Móveis e utensílios para casa"
"Home Improvement","Obras em casa"
"Jewelry and Watches","Joias e relógios"
"Mass Merchant","Comerciante em massa"
"Office Supplies","Material de escritório"
"Outdoor and Camping Gear","Equipamento ao ar livre e Camping"
"Pet Goods","Produtos do animal de estimação"
"Pharma and Medical Devices","Dispositivos médicos e farmacêuticos"
"Technology B2B","Tecnologia B2B"
Other,Outro(s)
Done,Concluído
Retry,"Tentar novamente"
"'Action Details - #' .","'Detalhes de Ação - #' ."
"%1 item(s) have been scheduled for update.""","%1 Item (ns) foram marcados para atualização."""
"Bulk Actions Log","Log de ações em massa"
"Something went wrong while processing the request.","Algo correu mal ao processar o pedido."
"%1 item(s) are currently being updated.","atualmente está(ão) %1 Item(ns) a ser(em) atualizado(s)."
"Task ""%1"": ","Tarefa ""%1"": "
"%1 item(s) have been scheduled for update.","%1 Item (ns) foram marcados para atualização."
"%1 item(s) have been successfully updated.","%1 Item (ns) foram atualizados com êxito."
"%1 item(s) failed to update","%1 item(ns) falhou(ram) ao atualizar"
Details,Detalhes
"View Details","Ver Detalhes"
Dismiss,Dispensar
"Pending, in queue...","Pendente, em fila..."
"%1 items selected for mass update","%1 itens selecionados para atualização em massa"
", %1 successfully updated",", %1 atualizado com sucesso"
", %1 failed to update",", %1 falha(s) ao atualizar"
"Something went wrong.","Algo correu mal."
"Action Log","Log de Ação"
Report,Relatório
"Bulk Actions","Ações em massa"
"Action Logs","Logs de Ação"
"Days Saved in Log","Dias, salvos em Log"
"Description of Operation","Descrição da operação"
Summary,Resumo
"Start Time","Hora de início"
"Items to Retry","Itens para repetição"
"To retry, select the items and click “Retry”.","Para repetir, selecione os itens e clique em ""Repetir""."
"Items That Can’t Be Updated.","Itens que não podem ser atualizados."
Status,Estado
"Meta Information",Meta-informação
Error,Erro
"Dismiss All Completed Tasks","Descartar tudo concluído as tarefas"
"Action Details - #","Detalhes de Ação - #"
"Number of Records Affected","Número de registros afetados"
"We can't find the role for the user you wanted.","Não conseguimos encontrar a função para o utilizador que pretendia."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Algo correu mal durante a compilação da lista de recursos permitidos. Consulte o log de exceções para obter detalhes."
"You created the order.","Você criou a encomenda."
"Order saving error: %1","Erro na gravação da encomenda: %1"
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"We can't process your order right now. Please try again later.","De momento não é possível processar a sua encomenda. Por favor tente novamente mais tarde."
"An error occurred on the server. Please try to place the order again.","Ocorreu um erro no servidor. Por favor, tente fazer o pedido novamente."
"Credit Card: xxxx-%1","Cartão de Crédito: xxxx-%1"
"amount %1","montante %1"
failed.,falhou.
successful.,sucesso.
"Authorize.Net Transaction ID %1.","ID da Transação Authorize.Net: %1."
authorize,autorizar
"authorize and capture","autorizar e capturar"
capture,capturar
refund,reembolsar
void,anular
"Gateway error: %1","Erro de gateway: %1"
"Something went wrong in the payment gateway.","Algo correu mal no gateway de pagamentos."
"Invalid amount for capture.","Quantia inválida para captura."
"Payment capturing error.","Erro na captura do pagamento."
"Invalid transaction ID.","O ID da transação é inválido."
"Payment voiding error.","Erro na anulação do pagamento."
"Invalid amount for refund.","Valor inválido para reembolso."
"Payment refunding error.","Erro no reembolso do pagamento."
"The transaction was declined because the response hash validation failed.","A transação foi recusada porque a validação do hash da resposta falhou."
"This payment didn't work out because we can't find this order.","O pagamento não foi efetuado porque não foi possível encontrar a encomenda."
"There was a payment authorization error.","Houve um erro na autorização do pagamento."
"Please enter a transaction ID to authorize this payment.","Por favor introduza o ID de uma transação para autorizar este pagamento."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Algo correu mal: o valor pago não coincide com o valor da encomenda. Por favor corrija o valor e tente novamente."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","A transação %1 foi aprovada. A quantidade é %2. O estado da transação é ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","A transacção %1 foi anulada/recusada. O estado da transacção é ""%2"". A quantidade é %3."
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Unable to get transaction details. Try again later.","De momento é impossível obter os detalhes da transação. Por favor tente mais tarde."
"Electronic payments save the trees.","Pagamentos eletrónicos salvam árvores."
"Credit Card Type","Tipo de cartão de crédito"
"Please Select","Por favor selecione"
"Credit Card Number","Número de cartão de crédito"
"Expiration Date","Data de validade"
"Card Verification Number","Número de verificação de cartão"
"Fraud Detection ","Detecção de fraudes "
"FDS Filter Action","Ação do filtro FDS"
"AVS Response","Resposta AVS"
"Card Code Response","Resposta Card Code"
"CAVV Response","Resposta CAVV"
"Fraud Filters","Filtros de fraude"
"Place Order",Encomendar
"Sorry, but something went wrong. Please contact the seller.","Pedimos desculpa, mas algo correu mal. Por favor contacte o vendedor."
Enabled,Ativo
"Payment Action","Ação de Pagamento"
Title,Título
"API Login ID","ID de Login da API"
"Transaction Key","Chave de Transação"
"Merchant MD5","MD5 do Comerciante"
"New Order Status","Estado da Nova Encomenda"
"Test Mode","Modo de Teste"
"Gateway URL","URL do Gateway"
"Transaction Details URL","URL dos Detalhes da Transação"
"Accepted Currency","Moedas Aceites"
Debug,Depurar
"Email Customer","Enviar Email ao Cliente"
"Merchant's Email","E-mail do Comerciante"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Minimum Order Total","Valor Mínimo da Encomenda"
"Maximum Order Total","Valor Máximo da Encomenda"
"Sort Order",Ordenação
"Cannot place order.","Não é possível efetuar a encomenda."
"Unable to place order. Please try again later.","Não foi possível efetuar a encomenda. Por favor, tente novamente mais tarde."
Environment,Ambiente
"Transaction has been declined. Please try again later.","A transacção foi recusada. Por favor tente novamente mais tarde."
options,opções
"Select all","Selecionar tudo"
"Deselect all","Desmarcar tudo"
"%s of %s selected","%s de %s selecionado"
"B2B Features","Características de B2B"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"You entered an invalid Secret Key. Please refresh the page.","Inseriu uma Chave Secreta inválida. Por favor recarregue a página."
"Cache Storage Management","Gestão de armazenamento de cache"
"Flush Magento Cache","Limpar Cache do Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","O armazenamento em cache pode conter dados adicionais. Tem certeza que quer eliminá-la?"
"Flush Cache Storage","Descarregar o armazenamento em Cache"
Invalidated,Invalidado
Orders,Pedidos
Amounts,Quantidades
Bestsellers,Best-sellers
"Most Viewed Products","Produtos mais vistos"
"New Customers","Novos clientes"
Customer,Cliente
Guest,Convidado
Items,Itens
"Lifetime Sales","Vendas desde sempre"
"Average Order","Encomenda média"
Average,Média
Views,Visualizações
Revenue,Receitas
Tax,Taxa
Shipping,Envio
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Media (.avi, .flv, .swf)","Media (. avi,. flv,. swf)"
"All Files","Todos os arquivos"
"Reset to Default","Repor Predefinições"
"All Store Views","Todas as Vistas de Loja"
"What is this?","O que é isto?"
"Save Account","Salvar a conta"
"My Account","A Minha conta"
"Account Information","Informações da Conta"
"User Name","Nome de utilizador"
"First Name",Nome
"Last Name",Sobrenome
Email,"Correio electrónico"
"User Email","E-mail de usuário"
"New Password","Nova Password"
"Password Confirmation","Confirmação da palavra-passe"
"Interface Locale","Linguagem da Interface"
"Current User Identity Verification","Palavra-passe do utilizador atual"
"Your Password","A sua palavra-passe"
"Save Cache Settings","Gravar as Definições de Cache"
"Catalog Rewrites","Regravações de Catálogo"
Refresh,Atualizar
"Images Cache","Cache de Imagens"
Clear,Limpar
"Search Index","Índice de Pesquisa"
Rebuild,Reconstruir
"Inventory Stock Status","Estado do Stock em Inventário"
"Rebuild Catalog Index","Reconstruir o Índice do Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Categoria do Catálogo Flat"
"Rebuild Flat Catalog Product","Reconstruir Produto do Catálogo Flat"
"Cache Control","Controlo de Cache"
"All Cache","Toda a Cache"
"No change","Sem alterações"
Disable,Desativar
Enable,Ativar
"Add Design Change","Adicionar alteração ao Design"
Delete,Eliminar
Save,Gravar
"Edit Design Change","Editar Alteração de Design"
"New Store Design Change","Nova Alteração de Design de loja"
"General Settings","Definições Gerais"
"-- Please Select --","-- Por favor, selecione --"
"Custom Design","Design personalizado"
"Date From","Data desde"
"Date To","Data até"
"Design Change","Alteração ao Design"
General,Geral
"Delete %1 '%2'","Eliminar %1 '%2'"
"Delete %1","Eliminar %1"
"Block Information","Informação de Blocos"
"Backup Options","Opções de backup"
"Create DB Backup","Criar Backup BD"
"Delete Store","Apagar Loja"
"Delete Web Site","Apagar Website"
"Save Web Site","Gravar Website"
"Save Store","Gravar Loja"
"Save Store View","Gravar Vista de Loja"
"Delete Store View","Apagar Vista de Loja"
"Edit Web Site","Editar Web Site"
"New Web Site","Novo Website"
"Edit Store","Editar Loja"
"New Store","Nova Loja"
"Edit Store View","Editar Vista de Loja"
"New Store View","Nova Vista de Loja"
"Store Information","Informação da Loja"
"Web Site",Website
Name,Nome
Code,Código
"Root Category","Categoria raiz"
"Default Store View","Vista de Loja por omissão"
"Store View Information","Informação da Vista de Loja"
Disabled,Inativo
"Web Site Information","Informação do Website"
"Default Store","Loja por omissão"
"Set as Default","Definir como omissão"
Stores,Lojas
"Create Website","Criar Website"
"Create Store","Criar Loja"
"Create Store View","Criar Vista de Loja"
Home,Início
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Add New Image","Adicionar nova imagem"
"Export block for grid %1 is not defined","Bloco de exportação para a grelha %1 não está definido"
"Reset Filter","Limpar Filtro"
Search,Pesquisa
Any,Qualquer
"All Countries","Todos os países"
From,De
To,Para
"Date selector","Seletor de data"
"[ deleted ]","[ apagado ]"
"Select All","Selecionar tudo"
"We couldn't find any records.","Não encontrámos nenhum registo."
"Add New","Adicionar novo"
"Invalid export type supplied for grid export block","Tipo de exportação inválido para bloco de exportação de grelha"
Export,Exportar
"Please correct the column format and try again.","Por favor corrija o formato da coluna e tente novamente."
"Please select items.","Por favor selecione itens."
Submit,Submeter
"Unknown block type","Tipo de bloco desconhecido"
"Please correct the tab configuration and try again. Tab Id should be not empty","Por favor corrija a configuração de separadores e tente novamente. O Id do separador não deve estar vazio"
"Please correct the tab configuration and try again.","Por favor corrija a configuração de tabulação e tente novamente."
"You have logged out.","Saiu da sua conta."
"Specified cache type(s) don't exist: %1","O(s) tipo(s) de cache indicado(s) não existe(m): %1"
"The image cache was cleaned.","A cache de imagens foi limpa."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar a cache de imagens."
"The JavaScript/CSS cache has been cleaned.","A cache de JavaScript/CSS foi limpa."
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar a cache de JavaScript/CSS."
"The static files cache has been cleaned.","A cache de ficheiros estáticos foi limpa."
"You flushed the cache storage.","Limpou toda a cache."
"The Magento cache storage has been flushed.","A cache do Magento foi limpa."
"Cache Management","Gestão de Cache"
"You can't change status of cache type(s) in production mode","Você não pode alterar o status do tipo(s) de cache em modo de produção"
"%1 cache type(s) disabled.","%1 tipo(s) de cache desativado(s)."
"An error occurred while disabling cache.","Ocorreu um erro ao desativar a cache."
"%1 cache type(s) enabled.","%1 tipo(s) de cache ativado(s)."
"An error occurred while enabling cache.","Ocorreu um erro a ativar a cache."
"%1 cache type(s) refreshed.","%1 tipo(s) de cache recarregado(s)."
